state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,Nez Perce Tribe of Idaho,ON,,2202530080,A,R,CH4,Methane,.0320711,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201520080,A,R,50000,Formaldehyde,95.4732,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202320080,A,R,100425,Styrene,.541232,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202410080,A,R,110543,Hexane,.0712444,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202540080,A,R,108883,Toluene,.0785562,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202420080,A,R,71432,Benzene,0,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.000197001,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,50000,Formaldehyde,.0404046,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201610080,A,R,71432,Benzene,.070926,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2203420080,A,R,VOC,Volatile Organic Compounds,0,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2203420080,A,R,CO,Carbon Monoxide,0,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202620080,A,R,7439965,Manganese,.0386064,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),.0012884,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201530080,A,R,7439965,Manganese,.000031582,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201520080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.0208521,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201430080,A,R,75070,Acetaldehyde,.0441234,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201310080,A,R,107028,Acrolein,25.5424,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201530080,A,R,108883,Toluene,13.86458,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201320080,A,R,71432,Benzene,154.6304,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202510080,A,R,N2O,Nitrous Oxide,.000177407,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202210080,A,R,107028,Acrolein,8.42296,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201540080,A,R,50000,Formaldehyde,12.51464,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201540080,A,R,NH3,Ammonia,.0115746,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202420080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.000337209,TON,2014NEIV2
,,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",ON,,2202510080,A,R,PM25-PRI,PM2.5 Primary (Filt + Cond),.101488,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202530080,A,R,VOC,Volatile Organic Compounds,.00286258,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201530080,A,R,NH3,Ammonia,.000031987,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201430080,A,R,107028,Acrolein,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202520080,A,R,VOC,Volatile Organic Compounds,.0442938,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,CH4,Methane,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2201420080,A,R,CO,Carbon Monoxide,0,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,N2O,Nitrous Oxide,.0000241562,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202320080,A,R,NH3,Ammonia,.00028809,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201420080,A,R,540841,"2,2,4-Trimethylpentane",.00217442,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202620080,A,R,CO,Carbon Monoxide,28.434,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202320080,A,R,7439965,Manganese,.0344256,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201210080,A,R,PM10-PRI,PM10 Primary (Filt + Cond),3.51582,TON,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202420080,A,R,123386,Propionaldehyde,.00782898,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,100425,Styrene,.00839708,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201430080,A,R,123386,Propionaldehyde,.00694654,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202210080,A,R,VOC,Volatile Organic Compounds,.146544,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202520080,A,R,NOX,Nitrogen Oxides,5.36976,TON,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2202520080,A,R,107028,Acrolein,9.5111,LB,2014NEIV2
,,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,ON,,2201510080,A,R,100425,Styrene,.00318856,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201520080,A,R,540841,"2,2,4-Trimethylpentane",78.6596,LB,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201430080,A,R,VOC,Volatile Organic Compounds,.0254302,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2201310080,A,R,SO2,Sulfur Dioxide,.463553,TON,2014NEIV2
,,"Coeur dAlene Tribe of the Coeur dAlene Reservation, Idaho",ON,,2202620080,A,R,CH4,Methane,.355705,TON,2014NEIV2
