b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"02","81232",,30,,1807
"02","8129",,1861,,29588
"02","81291",,87,,1214
"02","81292",,21,,573
"02","81293",,9,,240
"02","81299",,1744,,27561
"02","813",,388,,5544
"04","00",,268969,,11931254
"04","11",,1784,,59633
"04","113",,161,,5448
"04","114",,375,,5976
"04","1141",,195,,3308
"04","11411",,195,,3308
"04","1142",,180,,2668
"04","11421",,180,,2668
"04","115",,1248,,48209
"04","1151",,397,,20422
"04","11511",,397,,20422
"04","1152",,784,,25790
"04","11521",,784,,25790
"04","1153",,67,,1997
"04","11531",,67,,1997
"04","21",,242,,12902
"04","211",,6,,129
"04","2111",,6,,129
"04","21111",,6,,129
"04","212",,124,,7555
"04","2121",,9,,144
"04","21211",,9,,144
"04","2122",,43,,902
"04","2123",,72,,6509
"04","213",,112,,5218
"04","2131",,112,,5218
"04","21311",,112,,5218
"04","22",,238,,14000
"04","221",,238,,14000
"04","23",,23259,,1414390
"04","233",,5136,,578953
"04","2331",,558,,91072
"04","23311",,558,,91072
"04","2332",,3873,,432249
"04","2333",,705,,55632
"04","234",,434,,29609
"04","2341",,85,,9107
"04","2349",,349,,20502
"04","235",,17689,,805828
"04","2351",,1376,,84229
"04","23511",,1376,,84229
"04","2352",,2164,,76037
"04","23521",,2164,,76037
"04","2353",,1095,,49178
"04","23531",,1095,,49178
"04","2354",,1985,,95260
"04","2355",,3516,,141594
"04","2356",,565,,33223
"04","23561",,565,,33223
"04","2357",,559,,28372
"04","23571",,559,,28372
"04","2358",,65,,5799
"04","23581",,65,,5799
"04","2359",,6364,,292136
"04","31-33",,5273,,235117
"04","311",,212,,13157
"04","3111","D",0,"D",0
"04","31111","D",0,"D",0
"04","3112","D",0,"D",0
"04","3113",,21,,629
"04","3114",,17,,549
"04","3115","D",0,"D",0
"04","3116",,19,,4519
"04","31161",,19,,4519
"04","3117","D",0,"D",0
"04","31171","D",0,"D",0
"04","3118",,58,,2445
"04","3119",,74,,3198
"04","312",,16,,1165
"04","313","D",0,"D",0
"04","314",,33,,3008
"04","315",,326,,8530
"04","316",,95,,2375
"04","3161","D",0,"D",0
"04","31611","D",0,"D",0
"04","3162","D",0,"D",0
"04","31621","D",0,"D",0
"04","3169",,73,,1927
"04","31699",,73,,1927
"04","321",,384,,13711
"04","322","D",0,"D",0
"04","323",,529,,30734
"04","3231",,529,,30734
"04","324",,17,,981
"04","3241",,17,,981
"04","325",,91,,2758
"04","3251",,16,,354
"04","3252","D",0,"D",0
"04","3253","D",0,"D",0
"04","3254",,12,,331
"04","32541",,12,,331
"04","3255",,19,,872
"04","3256",,17,,250
"04","3259",,19,,496
"04","326",,107,,5201
"04","327",,251,,8699
"04","3271",,106,,2166
"04","3272",,75,,3486
"04","32721",,75,,3486
"04","3273","D",0,"D",0
"04","3274","D",0,"D",0
"04","3279",,52,,1599
"04","331",,61,,5230
"04","332",,782,,37604
"04","333",,204,,12599
"04","334",,181,,10427
"04","335",,149,,7836
"04","336",,61,,5918
"04","337",,325,,17083
"04","339",,1424,,47573
"04","3391",,85,,6022
"04","33911",,85,,6022
"04","3399",,1339,,41551
"04","42",,6791,,565989
"04","421",,3921,,356352
"04","4211",,360,,78516
"04","4212",,323,,26486
"04","4213",,139,,17023
