ST,CO,2016,2017,2018,2019,2020,average
12,21,0.455056368,0.454188891,0.454244065,0.457842116,0.442268126,0.452719913
12,23,0.660335267,0.689255038,0.711802504,0.712110009,0.699842918,0.694669147
12,27,0.587014212,0.559242177,0.567095779,0.581679701,0.582542334,0.575514841
12,29,0.587342594,0.587556363,0.582745218,0.591713573,0.573054708,0.584482491
12,31,0.703050106,0.709854311,0.706198389,0.710495,0.703215978,0.706562757
12,33,0.511660234,0.515839523,0.516994302,0.514961926,0.508529321,0.513597061
12,35,0.71772287,0.698526284,0.706792729,0.714583195,0.728788948,0.713282805
12,37,0.651761053,0.661616943,0.659535367,0.666029353,0.623745941,0.652537731
12,39,0.605222495,0.628521239,0.613357682,0.614769929,0.594687364,0.611311742
12,41,0.413209819,0.39533483,0.412733975,0.410897811,0.404377501,0.407310787
12,43,0.552753499,0.554233353,0.54642017,0.548403248,0.547354394,0.549832933
12,45,0.330620392,0.326861238,0.324323343,0.295587608,0.304776373,0.316433791
12,47,0.826051104,0.831799453,0.817004129,0.838322109,0.834695713,0.829574502
12,49,0.725687066,0.736390903,0.736830538,0.734470074,0.71680877,0.73003747
12,51,0.776923399,0.771498072,0.788252164,0.804087166,0.789403937,0.786032948
12,53,0.577050823,0.587534421,0.588127546,0.578814465,0.585085699,0.583322591
12,55,0.666680137,0.672193241,0.655496016,0.669693728,0.664678154,0.665748255
12,57,0.706244962,0.701323765,0.69069668,0.685693078,0.680232079,0.692838113
12,59,0.522476026,0.531752206,0.541113893,0.553338288,0.521045902,0.533945263
12,61,0.659386332,0.643489052,0.647395458,0.63391334,0.632187379,0.643274312
12,63,0.560509126,0.561591959,0.578875812,0.56454779,0.533933517,0.559891641
12,65,0.786496526,0.808572915,0.799250639,0.811814768,0.79273016,0.799773002
12,67,0.623446312,0.62488514,0.613813018,0.617182923,0.607749777,0.617415434
12,69,0.601271044,0.604966118,0.597784346,0.607583861,0.604286183,0.60317831
12,71,0.548423559,0.54674415,0.547038378,0.546508488,0.530291519,0.543801219
12,73,0.490389498,0.503443635,0.495432594,0.508830188,0.509045862,0.501428355
12,75,0.537496869,0.570521243,0.562122913,0.559592697,0.553250484,0.556596841
12,77,0.509486697,0.508720259,0.510425986,0.495787345,0.498975404,0.504679138
12,79,0.698356556,0.70414135,0.707250734,0.683337308,0.652853632,0.689187916
12,81,0.738312839,0.731872767,0.720383262,0.72489983,0.719535372,0.727000814
12,83,0.624443757,0.630164397,0.630503358,0.640421716,0.623973265,0.629901299
12,85,0.758073153,0.717789212,0.752263909,0.751608407,0.733493222,0.742645581
